id,timestamp,cpu_percent,memory_percent,disk_percent,network_sent,network_recv,process_count
128,2026-07-29T20:43:53.101717,13.8,88.9,85.6,264334942,1870188592,297
129,2026-07-29T20:43:56.120057,13.0,89.6,85.6,264342896,1870197527,297
130,2026-07-29T20:43:59.193420,21.0,89.2,85.6,264343634,1870198100,297
131,2026-07-29T20:44:02.212411,27.0,89.7,85.6,264371411,1870205197,297
132,2026-07-29T20:44:05.226557,22.9,90.2,85.6,264385470,1870207581,298
133,2026-07-29T20:44:08.240057,17.8,90.0,85.6,264393654,1870216656,298
134,2026-07-29T20:44:11.260893,15.6,90.6,85.6,264394480,1870218218,299
135,2026-07-29T20:44:14.278155,20.1,90.4,85.6,264394759,1870218561,305
136,2026-07-29T20:44:17.287093,13.8,90.2,85.6,264395766,1870225004,298
137,2026-07-29T20:44:20.305717,17.7,90.4,85.6,264396216,1870229342,298
138,2026-07-29T20:44:23.323941,7.8,90.3,85.6,264406555,1870231968,298
139,2026-07-29T20:44:26.388221,41.4,92.6,85.6,264419891,1870244491,298
140,2026-07-29T20:44:29.404125,13.4,91.8,85.6,264420911,1870247818,298
141,2026-07-29T20:44:32.463904,14.1,90.0,85.6,264420911,1870247990,298
142,2026-07-29T20:44:35.478470,14.7,88.4,85.6,264421657,1870249101,298
143,2026-07-29T20:44:38.488931,16.7,88.7,85.6,264422079,1870250719,298
144,2026-07-29T20:44:41.507172,23.2,88.5,85.6,264422689,1870251487,297
145,2026-07-29T20:44:44.519135,15.1,88.7,85.6,264423090,1870252152,297
146,2026-07-29T20:44:47.534175,14.4,88.6,85.6,264423576,1870252468,297
147,2026-07-29T20:44:50.595400,11.7,88.8,85.6,264445457,1870256389,297
148,2026-07-29T20:44:53.620884,9.5,88.8,85.6,264446292,1870257147,297
149,2026-07-29T20:44:56.717229,21.2,88.7,85.6,264446745,1870257557,297
150,2026-07-29T20:44:59.738170,17.5,90.3,85.6,264447606,1870258306,297
151,2026-07-29T20:45:02.760144,23.7,88.5,85.6,264450585,1870264830,297
152,2026-07-29T20:45:05.768285,21.9,88.5,85.6,264451449,1870265653,298
153,2026-07-29T20:45:08.788227,10.6,88.4,85.6,264451765,1870266084,297
154,2026-07-29T20:45:11.802635,23.6,88.5,85.6,264452221,1870266722,296
155,2026-07-29T20:45:14.864272,9.9,88.4,85.6,264452446,1870267065,296
156,2026-07-29T20:45:17.883277,17.9,88.7,85.6,264453115,1870275342,296
157,2026-07-29T20:45:20.896367,11.4,88.5,85.6,264463029,1870277182,296
158,2026-07-29T20:45:23.915029,7.0,88.3,85.6,264464346,1870278492,296
159,2026-07-29T20:45:26.976783,16.6,88.4,85.6,264464448,1870278836,296
160,2026-07-29T20:45:30.048126,16.6,88.4,85.6,264465353,1870279629,296
161,2026-07-29T20:45:33.067004,11.0,88.4,85.6,264465797,1870280653,296
162,2026-07-29T20:45:36.081012,10.7,88.4,85.6,264466722,1870281772,296
163,2026-07-29T20:45:39.093249,18.2,88.6,85.6,264467432,1870282802,296
164,2026-07-29T20:45:42.107915,12.8,88.6,85.6,264480399,1870287152,296
165,2026-07-29T20:45:45.127188,12.3,88.8,85.6,264480768,1870287731,297
166,2026-07-29T20:45:48.190750,11.9,88.8,85.6,264481327,1870288445,297
167,2026-07-29T20:45:51.208710,18.5,89.0,85.6,264615401,1870365453,297
168,2026-07-29T20:45:54.270487,18.7,89.4,85.6,264673082,1870385423,297
169,2026-07-29T20:45:57.292082,25.4,89.7,85.6,264683820,1870409430,297
170,2026-07-29T20:46:00.315707,28.9,90.0,85.6,264822601,1870440996,297
171,2026-07-29T20:46:03.331741,19.8,89.8,85.6,264830148,1870449873,302
172,2026-07-29T20:46:06.344131,65.5,94.1,85.6,264852111,1870451652,297
173,2026-07-29T20:46:09.367191,30.4,91.8,85.6,264869940,1870461365,297
174,2026-07-29T20:46:12.384103,18.8,91.8,85.6,264904387,1870464773,298
175,2026-07-29T20:46:15.395165,12.3,92.0,85.6,264904698,1870465940,298
176,2026-07-29T20:46:18.421499,14.0,92.0,85.6,264905471,1870475505,298
177,2026-07-29T20:46:21.436837,13.5,92.3,85.6,264915383,1870476734,298
178,2026-07-29T20:46:24.457323,25.2,92.6,85.6,264938262,1870481280,298
179,2026-07-29T20:46:27.486475,17.2,93.1,85.6,264942680,1870489833,304
180,2026-07-29T20:46:30.509666,26.4,93.3,85.6,264957039,1870492042,302
181,2026-07-29T20:46:33.529348,51.6,94.9,85.6,264957264,1870492299,302
182,2026-07-29T20:46:36.545693,13.3,91.7,85.6,264980301,1870502754,301
183,2026-07-29T20:46:39.562335,22.5,91.6,85.6,264980765,1870503173,297
184,2026-07-29T20:46:42.575401,10.4,91.1,85.6,264981328,1870503853,296
185,2026-07-29T20:46:45.588069,21.4,90.9,85.6,264981655,1870504282,296
186,2026-07-29T20:46:48.606908,18.2,90.8,85.6,264990448,1870506051,295
187,2026-07-29T20:46:51.621354,14.5,91.2,85.6,265001504,1870514392,295
188,2026-07-29T20:46:54.644782,10.4,91.1,85.6,265037062,1870520143,295
189,2026-07-29T20:46:57.662305,20.4,91.3,85.6,265046629,1870612133,295
190,2026-07-29T20:47:00.691277,36.0,92.6,85.6,265112783,1870899867,298
191,2026-07-29T20:47:03.707625,41.0,94.0,85.6,265127425,1870990896,299
192,2026-07-29T20:47:06.721958,15.5,93.4,85.6,265132318,1871002181,298
193,2026-07-29T20:47:09.736104,25.7,91.2,85.6,265132889,1871005276,297
194,2026-07-29T20:47:12.750096,31.5,92.0,85.6,265133240,1871006588,296
195,2026-07-29T20:47:15.760154,20.7,92.7,85.6,265160655,1871010237,296
196,2026-07-29T20:47:18.774556,28.1,93.4,85.6,265197597,1871030482,297
197,2026-07-29T20:47:21.794512,23.2,92.8,85.6,265205154,1871073662,296
198,2026-07-29T20:47:24.807101,40.6,92.0,85.6,265216057,1871076553,296
199,2026-07-29T20:47:27.833384,31.7,92.0,85.6,265219783,1871077383,299
200,2026-07-29T20:47:30.851390,13.3,92.3,85.6,265220920,1871078304,296
201,2026-07-29T20:47:33.864424,17.9,92.8,85.6,265221353,1871078861,296
202,2026-07-29T20:47:36.880981,14.5,92.5,85.6,265222070,1871079732,296
203,2026-07-29T20:47:39.896712,23.1,92.9,85.6,265224469,1871084672,296
204,2026-07-29T20:47:42.906849,19.7,92.3,85.6,265231432,1871094366,296
205,2026-07-29T20:47:45.923050,27.5,90.5,85.6,265232614,1871095719,297
206,2026-07-29T20:47:48.937978,12.8,90.3,85.6,265233375,1871096628,297
207,2026-07-29T20:47:51.960111,37.4,91.4,85.6,265255073,1871110946,297
208,2026-07-29T20:47:54.977710,22.4,91.3,85.6,265295528,1871124479,297
209,2026-07-29T20:47:57.994133,20.3,91.1,85.6,265317058,1871125493,297
210,2026-07-29T20:48:01.004795,13.3,91.2,85.6,265317822,1871128519,296
211,2026-07-29T20:48:04.022687,30.6,91.9,85.6,265327284,1871134767,296
212,2026-07-29T20:48:07.035243,24.0,91.2,85.6,265345355,1871136850,296
213,2026-07-29T20:48:10.054972,35.2,92.0,85.6,265349107,1871146108,296
214,2026-07-29T20:48:13.071530,13.1,94.5,85.6,265363444,1871158596,298
215,2026-07-29T20:48:16.124635,18.4,92.8,85.6,265398569,1871280015,299
216,2026-07-29T20:48:19.138381,39.8,92.1,85.6,265407121,1871377641,302
217,2026-07-29T20:48:22.154027,19.9,87.1,85.6,265421613,1871380249,299
218,2026-07-29T20:48:25.166602,34.3,87.8,85.6,265428344,1871390158,302
219,2026-07-29T20:48:28.187319,19.8,87.8,85.6,265435563,1871391835,300
220,2026-07-29T20:48:31.202914,15.1,88.6,85.6,265439589,1871392450,300
221,2026-07-29T20:48:34.226726,30.1,88.5,85.6,265440864,1871394041,300
222,2026-07-29T20:48:37.247415,25.4,89.4,85.6,265455749,1871398432,300
223,2026-07-29T20:48:40.260183,20.6,89.5,85.6,265457248,1871400162,300
224,2026-07-29T20:48:43.273020,19.7,89.1,85.6,265457523,1871400552,299
225,2026-07-29T20:48:46.287312,20.4,88.0,85.6,265458137,1871401533,299
226,2026-07-29T20:48:49.303491,13.4,86.6,85.6,265459003,1871402576,299
227,2026-07-29T20:48:52.317300,13.2,86.8,85.6,265459449,1871403267,299
228,2026-07-29T20:48:55.341839,12.1,86.2,85.6,265459963,1871403848,298
229,2026-07-29T20:48:58.360037,10.9,86.2,85.6,265460399,1871404488,298
230,2026-07-29T20:49:01.372862,15.5,86.4,85.6,265461721,1871405813,297
231,2026-07-29T20:49:04.390026,13.3,86.7,85.6,265470889,1871425111,298
232,2026-07-29T20:49:07.403566,11.5,87.0,85.6,265481421,1871427085,298
233,2026-07-29T20:49:10.421780,8.2,87.1,85.6,265482261,1871427835,298
234,2026-07-29T20:49:13.441106,18.4,87.4,85.6,265482405,1871428157,298
235,2026-07-29T20:49:16.456284,23.2,87.5,85.6,265483253,1871429570,297
