cluster_id,template,occurrences,level,first_seen,last_seen
1,Cache miss for key <*>,1597,,2026-07-29 15:23:46,2026-07-30 10:01:46
2,CPU usage reached <*>,990,,2026-07-29 15:23:46,2026-07-30 10:01:14
3,Request <*> <*> took <*> ms,1762,,2026-07-29 15:23:46,2026-07-30 10:01:54
4,Payment for Order <*> <*>,1595,,2026-07-29 15:23:46,2026-07-30 10:01:50
5,Worker <*> restarted,1380,,2026-07-29 15:23:46,2026-07-30 10:01:34
6,Memory usage reached <*>,1053,,2026-07-29 15:23:48,2026-07-30 10:01:48
7,User <*> logged <*>,1643,,2026-07-29 15:23:50,2026-07-30 10:01:56
8,Disk usage reached <*>,1428,,2026-07-29 15:24:00,2026-07-30 10:01:52
9,Service auth restarted after <*> crashes,1032,,2026-07-29 15:24:02,2026-07-30 10:01:38
10,File <*> uploaded,1257,,2026-07-29 15:24:20,2026-07-30 10:01:42
11,Database timeout after <*> seconds,1085,,2026-07-29 15:24:30,2026-07-30 10:01:20
12,Connection from <*> accepted,1050,,2026-07-29 15:25:25,2026-07-30 10:01:24
